标题,播放数,链接
哼首欢快的歌 来拯救你的小确丧,809万,http://music.163.com/playlist?id=2144082923
仙人抚我顶，结发受长生。,735万,http://music.163.com/playlist?id=2132009349
再听这些歌时你已热泪盈眶，你曾是少年,662万,http://music.163.com/playlist?id=2128858806
致暗恋：陪伴是最怂的告白,679万,http://music.163.com/playlist?id=2127074784
听说把糖放在枕头底下会做一个甜甜的梦,841万,http://music.163.com/playlist?id=2091484707
多热烈的白羊，热烈的抽象。,592万,http://music.163.com/playlist?id=2088358594
偶像练习生_歌单合辑pick pick pick,666万,http://music.163.com/playlist?id=2070299050
你说你很累，可谁又活得顺风顺水,940万,http://music.163.com/playlist?id=2055724092
适合努力学习英语时听的歌曲,1266万,http://music.163.com/playlist?id=2015397679
人这一辈子，最怕突然听懂了一首歌。,1579万,http://music.163.com/playlist?id=2020864493
2018年六月最热新歌TOP50,849万,http://music.163.com/playlist?id=2295860315
